Brand Code, Brand Name, Chain Name
5078, Dushi Homes, Dushi Homes
3645, Logis International, Logis International
5079, Touch Down Group, Touch Down Group
3643, Time Hotels, Time Hotels
5077, Altica, Altica
2305, Remington, Remington
3644, Egyptian Armed Forces Hotels, Egyptian Armed Forces Hotels
2304, Park Management Group, Park Management Group
2301, Hostmark Hospitality Group, Hostmark Hospitality Group
2300, Davidson, Davidson
3635, Sarova Hotels UK, Sarova Hotels UK
5069, We Stay, We Stay
3636, Pullen Realty, Pullen Realty
5070, Cirrus Inns, Cirrus Inns
3637, Upham Pub Group, Upham Pub Group
5071, Visit The Entrance, Visit The Entrance
5072, Casas Rurales Primorias, Casas Rurales Primorias
5073, Galicia Holiday, Galicia Holiday
3640, Karongwe Portfolio, Karongwe Portfolio
5074, Guestincoming, Guestincoming
3641, Kapama, Kapama
5075, Village Montana, Village Montana
2307, Sunstream Hotels, Sunstream Hotels
3642, Stella Di Mare, Stella Di Mare
5076, Follow, Follow the Sun
5092, Solaga, Solaga
5093, LocDenia, LocDenia
3656, JacTravel, JacTravel
5094, Inmobiliaria Canovas, Inmobiliaria Canovas
11180, CPG Hotels, Independent
11063, Gruppo Marco Zoppi, Independent
11186, Sea Resorts Hotels, Independent
11064, Central Apartment Group, Independent
11504, VR_PM Wonderful Italy, Independent
11508, Sands China, Independent
11507, Made inn Algarve, Independent
11067, Cavana, Independent
11188, HAKATA HOTELS, Independent
11066, VR_PM Villa Bali Management, Independent
11187, VR_PM Taylor-Made Deep Creek Vacations (by VTrips), Independent
11189, BedsRevenue, Independent
5934, Resident Hotels Ltd., Independent
11620, VR_PM ROCKY MOUNTAIN RESORT MANAGEMENT, Independent
11502, The Fives Hotels & Resorts, Independent
11070, Group Elena Tempra, Independent
11191, Boutique Hotels Madeira, Independent
11190, Real Estate My Home, Independent
11072, Louis Hotels Group, Independent
11193, Sestao Properties, Independent
11071, Baixa & Blue, Independent
11192, TPF Hospitality, Independent
11074, Sunsations, Independent
11073, Desio Collection, Independent
11194, WMRH Consulting, Independent
11076, Dreamtime Resorts, Independent
11197, Sowell, Independent
11075, Direct Hotels, Independent
11196, VR_PM KMA Capital Corporation dba KBM Resorts, Independent
0, Independent, Independent
11517, Macaronesian Hotels, Independent
11078, VR_PM Maui Paradise Properties, Independent
11199, Carlos V Granada, Independent
11077, Alvaro Robleda Godoy, Independent
11198, Antico Doge Group, Independent
11630, VR_PM BMA Cyprus Holiday Group, Independent
11079, Rosales Reston, Independent
11512, NqN Apartments, Independent
11281, VR_PM Vail International Management, Independent
11160, VR_PM Resort Collection (by VTrips), Independent
11280, VR_PM Advanced Lodging Concepts, Independent
11162, Les Torres, Independent
11161, SonGrecLili, Independent
11164, Nitz-Khronos, Independent
11163, Paolo Grosso, Independent
10634, Providence Hospitality, Independent
11166, Alhambra Suites, Independent
11286, Dante Hoteles, Independent
11165, FDTG - O Presente e o futuro  Avô  Filhos & Netos  S.A., Independent
11289, Beez Hotels Mallorca, Independent
11288, Maya-Calas, Independent
11167, Puro Group, Independent
11292, Revpush360Rosi, Independent
11171, Big Bear Getaway, Independent
11291, Hodelpa, Independent
11294, Inteam Hospitality Group, Independent
11173, Q Hotels, Independent
11293, Soho Point, Independent
11296, Hamak Hotels, Independent
11175, ORIX Hotel Management, Independent
11295, Emiliya, Independent
11174, esuites Brazil, Independent
2221, AMResorts, Independent
11618, Olydea, Independent
11177, Magna Hotels, Independent
11179, Bordoy, Independent
11299, La City Hoteles, Independent
11059, VR_PM Sweetstay, Independent
11140, Retamal, Independent
11261, Art & Soul, Independent
11142, Nakar Group, Independent
11141, C Collection, Independent
11144, Grand Luxor Hotels, Independent
11143, Altafulla Hotels, Independent
11146, Villas De Guatemala– GUA, Independent
11145, Vert Israel, Independent
11148, Hostal San Juan & Hotel Castilla Alicante, Independent
11147, Key Host Holiday Homes Rental, Independent
11149, Madeira & Montesol, Independent
11272, CYE Salou Apts, Independent
11151, KOSY Appart Hotel, Independent
11150, Hotel Korner, Independent
11152, San Manuel, Independent
11712, Revelstoke Vacations, Independent
11276, Village Accommodation Group, Independent
11154, Vacances Menorca, Independent
11038, VR_PM Scoast LLC, Independent
11159, VR_PM Mabaat Rentals Saudi, Independent
11711, Grupo Isabel, Independent
11710, GSH Hotels, Independent
11120, Hoteles Garau, Independent
11121, Hoteles La Santa Maria, Independent
11366, VR_PM Palm Beach Vacation Rentals, Independent
11124, Daniya Hotels, Independent
11245, Sorrento4Home, Independent
11123, Palazzo Starace, Independent
11368, Above Property, Independent
11489, Brisa Hotels, Independent
11125, Hoteles Diferentes, Independent
11128, Carlos V & San Juan de los Reyes, Independent
11131, Numa Stays, Independent
11130, Bianchi Hotels, Independent
2376, Hawaiian Hotels, Independent
11133, Hospederías de Extremadura, Independent
11498, FAR Canarias, Independent
11135, Altieri, Independent
5524, Remisens, Independent
